"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка навигации на страницы осуществляется по URL и заголовку. На каждой странице есть заголовок 1-ого уровня, который содержит текст 'Not found' (особенности ресурса). Единственно работающий раздел -> HOME. Он осуществляет редирект на главную страницу 'The Internet Hero Ku App'.","345","Навигация по разделам страницы 'Disappearing Elements' Переход по ссылке: ""About"" → ожидаем endpoint: ""/about/"" → и заголовок: ""Not Found""","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Disappearing Elements'","tests.DisappearingElementsTests","userCanNavigateToThePageByLinkFromDisappearingElementsPage"
"","515","Навигация по разделам главной страницы Переход по ссылке: ""Nested Frames"" → ожидаемый endpoint: ""/nested_frames""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","390","Навигация по разделам главной страницы Переход по ссылке: ""JavaScript Alerts"" → ожидаемый endpoint: ""/javascript_alerts""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"В рамках теста проверяется взаимодействие с ссылками <a href> в последней столбце/ячейки таблицы.
","481","Проверяем что пользователь может удалять или редактировать определенные строки таблицы","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Challenging DOM'","tests.ChallengingDomTests","userEditAndDeleteRowsByItsIndex"
"Используем embedded credentials в basic auth так как невалидные учетные данные не кэшируются браузером при неудачной попытке (только в свежих версиях).","0","Пользователь увидит ошибку авторизации если закроет окно 'Basic auth'","","2026-07-09","skipped","2026-07-09","","Проверки раздела 'Basic Auth'","tests.BasicAuthorizationTests","userCanNotPassBasicAuthWithWrongCredentials"
"","377","Навигация по разделам главной страницы Переход по ссылке: ""Basic Auth"" → ожидаемый endpoint: ""/basic_auth""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","384","Навигация по разделам главной страницы Переход по ссылке: ""Context Menu"" → ожидаемый endpoint: ""/context_menu""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","1604","Навигация по разделам главной страницы Переход по ссылке: ""A/B Testing"" → ожидаемый endpoint: ""/abtest""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","1627","Проверка статичного отображения текста и заголовка страницы без сброса cookies","","2026-07-09","passed","2026-07-09","","Проверки раздела 'A/B Testing'","tests.ABTestingTests","abTestsPageDisplayedStaticControlVersionWithoutClearingCookies"
"","4842","Чек-бокс может быть удален со страницы","","2026-07-09","passed","2026-07-09","","Проверки страницы 'Dynamic Controls'","tests.DynamicControlsTests","checkboxCanBeRemoved"
